"BCR","BCR_name","CommonName","ScientificName","SPEC","No_individuals","Nsta_CJS","No_yrunique_adults","No_yrunique_young","phi.med","phi.sd","phi.05","phi.95","phi.trend.med","phi.trend.sd","phi.trend.05","phi.trend.95","sigma.phi.med","sigma.phi.sd","sigma.phi.05","sigma.phi.95","pi.med","pi.sd","pi.05","pi.95","pi.trend.med","pi.trend.sd","pi.trend.05","pi.trend.95","sigma.pi.med","sigma.pi.sd","sigma.pi.05","sigma.pi.95","ri.med","ri.sd","ri.05","ri.95","ri.trend.med","ri.trend.sd","ri.trend.05","ri.trend.95","sigma.ri.med","sigma.ri.sd","sigma.ri.05","sigma.ri.95","ahy.med","ahy.sd","ahy.05","ahy.95","ahy.trend.med","ahy.trend.sd","ahy.trend.05","ahy.trend.95","sigma.ahy.med","sigma.ahy.sd","sigma.ahy.05","sigma.ahy.95","hy.med","hy.sd","hy.05","hy.95","hy.trend.med","hy.trend.sd","hy.trend.05","hy.trend.95","sigma.hy.med","sigma.hy.sd","sigma.hy.05","sigma.hy.95"
27,"Southeastern Coastal Plain","Northern Cardinal","Cardinalis cardinalis","NOCA",1942,39,2543,781,0.576,0.014,0.551,0.597,0.001,0.006,-0.009,0.012,0.088,0.082,0.01,0.268,0.707,0.032,0.659,0.762,0.003,0.017,-0.029,0.027,0.14,0.132,0.012,0.417,0.237,0.029,0.192,0.289,-0.017,0.014,-0.042,0.005,0.426,0.102,0.288,0.621,4.556,0.577,3.696,5.575,-0.02,0.006,-0.031,-0.01,0.101,0.037,0.043,0.164,1.011,0.19,0.74,1.355,-0.024,0.017,-0.053,0.003,0.487,0.109,0.343,0.695
27,"Southeastern Coastal Plain","Red-eyed Vireo","Vireo olivaceus","REVI",468,33,503,29,0.616,0.026,0.58,0.665,0,0.013,-0.019,0.023,0.316,0.302,0.034,0.964,0.461,0.086,0.343,0.621,-0.027,0.027,-0.068,0.021,0.369,0.365,0.036,1.127,0.042,0.013,0.026,0.067,-0.003,0.02,-0.032,0.033,0.364,0.291,0.036,0.948,0.907,0.167,0.671,1.218,-0.04,0.012,-0.061,-0.02,0.191,0.081,0.057,0.329,0.042,0.013,0.025,0.068,-0.019,0.022,-0.052,0.02,0.5,0.312,0.073,1.086
27,"Southeastern Coastal Plain","Yellow-breasted Chat","Icteria virens","YBCH",125,11,271,35,0.521,0.061,0.408,0.609,0.001,0.02,-0.028,0.034,4.369,2.78,0.493,9.292,0.58,0.153,0.268,0.764,-0.053,0.047,-0.139,0.015,3.628,2.75,0.338,9.044,0.102,0.029,0.064,0.16,0.01,0.016,-0.014,0.039,0.359,0.349,0.035,1.123,0.59,0.23,0.325,1.062,-0.055,0.025,-0.097,-0.013,0.455,0.175,0.207,0.776,0.045,0.027,0.018,0.101,-0.039,0.037,-0.11,0.008,0.534,0.347,0.059,1.172
27,"Southeastern Coastal Plain","Downy Woodpecker","Dryobates pubescens","DOWO",178,33,199,154,0.522,0.054,0.445,0.62,0.002,0.031,-0.052,0.049,0.932,1.09,0.063,3.123,0.484,0.213,0.229,0.926,0.016,0.05,-0.061,0.091,1.48,2.551,0.139,8.078,0.85,0.149,0.637,1.124,-0.022,0.021,-0.058,0.01,0.191,0.172,0.013,0.546,0.406,0.062,0.315,0.517,0.012,0.012,-0.005,0.035,0.144,0.108,0.015,0.357,0.29,0.058,0.207,0.397,0.004,0.016,-0.028,0.025,0.487,0.148,0.273,0.754
27,"Southeastern Coastal Plain","Prothonotary Warbler","Protonotaria citrea","PROW",662,21,786,385,0.517,0.052,0.441,0.608,-0.021,0.026,-0.065,0.02,0.545,0.48,0.046,1.522,0.438,0.073,0.337,0.575,0.018,0.031,-0.031,0.07,0.323,0.292,0.027,0.924,0.178,0.04,0.124,0.255,-0.042,0.021,-0.077,-0.008,0.589,0.155,0.378,0.878,0.663,0.172,0.433,0.995,0.014,0.009,-0.001,0.029,0.341,0.071,0.245,0.475,0.11,0.041,0.059,0.189,-0.04,0.02,-0.072,-0.007,0.57,0.132,0.397,0.824
28,"Appalachian Mountains","Yellow Warbler","Setophaga petechia","YEWA",585,20,769,205,0.564,0.031,0.499,0.596,0,0.01,-0.014,0.018,0.482,0.355,0.054,1.163,0.49,0.055,0.405,0.585,-0.014,0.013,-0.032,0.009,0.523,0.315,0.08,1.099,0.216,0.048,0.154,0.307,0.002,0.01,-0.016,0.018,0.257,0.15,0.046,0.53,1.293,0.425,0.792,2.136,-0.065,0.01,-0.082,-0.049,0.167,0.071,0.047,0.285,0.287,0.121,0.152,0.532,-0.06,0.017,-0.088,-0.033,0.18,0.119,0.021,0.404
28,"Appalachian Mountains","Ovenbird","Seiurus aurocapilla","OVEN",1424,46,2361,693,0.572,0.029,0.524,0.618,0.014,0.015,-0.014,0.035,0.139,0.135,0.015,0.427,0.444,0.044,0.366,0.508,-0.047,0.025,-0.09,-0.009,0.372,0.219,0.051,0.776,0.229,0.025,0.191,0.274,-0.009,0.01,-0.025,0.007,0.179,0.082,0.041,0.32,2.323,0.333,1.846,2.942,-0.017,0.007,-0.029,-0.006,0.193,0.047,0.127,0.279,0.49,0.086,0.367,0.651,-0.027,0.01,-0.042,-0.011,0.11,0.067,0.015,0.232
28,"Appalachian Mountains","Eastern Towhee","Pipilo erythrophthalmus","EATO",607,42,873,286,0.511,0.034,0.461,0.571,0.011,0.016,-0.014,0.039,0.245,0.199,0.024,0.65,,,,,-0.032,0.227,-0.44,0.25,1.183,2.052,0.09,6.571,0.256,0.033,0.208,0.317,-0.003,0.013,-0.023,0.02,0.134,0.104,0.017,0.346,1.039,0.138,0.832,1.284,-0.006,0.009,-0.021,0.008,0.068,0.05,0.007,0.166,0.249,0.05,0.179,0.341,0.001,0.014,-0.022,0.024,0.256,0.121,0.056,0.463
28,"Appalachian Mountains","Acadian Flycatcher","Empidonax virescens","ACFL",250,21,361,34,0.547,0.031,0.501,0.599,0.014,0.024,-0.008,0.063,0.494,0.494,0.039,1.536,0.381,0.055,0.283,0.463,0.003,0.033,-0.036,0.07,0.319,0.321,0.025,1.013,0.065,0.016,0.043,0.095,0.006,0.021,-0.03,0.04,0.43,0.32,0.041,1.06,0.684,0.161,0.465,0.986,0.001,0.01,-0.013,0.019,0.144,0.09,0.016,0.307,0.044,0.017,0.023,0.077,0.006,0.027,-0.037,0.051,0.439,0.334,0.045,1.101
28,"Appalachian Mountains","Red-eyed Vireo","Vireo olivaceus","REVI",1303,50,1994,119,0.6,0.03,0.537,0.635,-0.002,0.012,-0.022,0.018,0.454,0.284,0.071,0.986,0.52,0.066,0.424,0.64,-0.017,0.027,-0.051,0.036,0.363,0.27,0.053,0.901,0.035,0.008,0.025,0.049,-0.019,0.021,-0.059,0.008,0.61,0.193,0.346,0.97,1.971,0.253,1.588,2.419,-0.006,0.008,-0.018,0.007,0.256,0.054,0.183,0.359,0.068,0.017,0.044,0.101,-0.035,0.022,-0.079,-0.006,0.671,0.187,0.432,1.031
28,"Appalachian Mountains","Field Sparrow","Spizella pusilla","FISP",327,23,471,249,0.432,0.055,0.315,0.49,0.02,0.022,-0.007,0.062,,,,,0.815,0.109,0.583,0.947,-0.001,0.103,-0.119,0.2,3.204,1.942,1.208,7.631,0.314,0.066,0.229,0.442,0.008,0.023,-0.027,0.047,0.543,0.197,0.267,0.913,1.334,0.313,0.873,1.885,-0.079,0.017,-0.108,-0.051,0.21,0.113,0.039,0.413,0.373,0.1,0.251,0.566,-0.054,0.026,-0.099,-0.012,0.535,0.159,0.321,0.835
28,"Appalachian Mountains","Traill's Flycatcher","Empidonax alnorum/traillii","TRFL",345,18,432,45,0.527,0.035,0.474,0.588,-0.016,0.022,-0.06,0.009,0.695,0.69,0.088,2.133,0.336,0.067,0.234,0.451,-0.012,0.036,-0.072,0.048,0.847,0.548,0.161,1.912,0.042,0.018,0.02,0.078,0.027,0.028,-0.022,0.067,0.469,0.335,0.048,1.126,0.824,0.215,0.545,1.241,-0.044,0.013,-0.066,-0.023,0.145,0.088,0.018,0.303,0.034,0.017,0.016,0.07,-0.012,0.037,-0.075,0.044,0.344,0.256,0.033,0.843
28,"Appalachian Mountains","American Redstart","Setophaga ruticilla","AMRE",1815,32,2424,1284,0.535,0.022,0.501,0.573,-0.005,0.018,-0.036,0.022,0.239,0.189,0.019,0.613,0.515,0.058,0.425,0.615,-0.017,0.022,-0.056,0.015,0.484,0.261,0.123,0.968,0.158,0.035,0.108,0.224,-0.002,0.012,-0.022,0.017,0.41,0.093,0.284,0.587,1.297,0.27,0.926,1.79,-0.024,0.008,-0.037,-0.012,0.214,0.045,0.152,0.3,0.179,0.054,0.117,0.285,-0.028,0.013,-0.05,-0.007,0.388,0.085,0.274,0.548
28,"Appalachian Mountains","Wood Thrush","Hylocichla mustelina","WOTH",1336,46,2148,530,0.431,0.037,0.36,0.476,-0.003,0.016,-0.033,0.019,0.652,0.291,0.229,1.185,0.534,0.05,0.46,0.624,0,0.02,-0.033,0.034,0.294,0.21,0.035,0.702,0.176,0.017,0.148,0.205,0.021,0.011,0.002,0.04,0.278,0.092,0.139,0.435,2.085,0.326,1.616,2.679,0.014,0.007,0.003,0.025,0.158,0.036,0.106,0.225,0.326,0.064,0.238,0.445,0.047,0.011,0.028,0.065,0.275,0.079,0.16,0.418
28,"Appalachian Mountains","Common Yellowthroat","Geothlypis trichas","COYE",1275,35,1887,569,0.499,0.02,0.466,0.532,0.002,0.008,-0.009,0.016,0.097,0.095,0.008,0.305,0.588,0.035,0.533,0.647,-0.001,0.016,-0.025,0.029,0.191,0.157,0.018,0.511,0.214,0.032,0.168,0.272,0.007,0.01,-0.007,0.025,0.261,0.085,0.133,0.41,2.276,0.466,1.633,3.146,-0.028,0.007,-0.039,-0.017,0.149,0.043,0.088,0.226,0.341,0.103,0.216,0.546,-0.009,0.012,-0.028,0.01,0.293,0.074,0.19,0.43
28,"Appalachian Mountains","Black-capped Chickadee","Poecile atricapillus","BCCH",578,27,868,798,0.481,0.03,0.421,0.517,0.011,0.012,-0.006,0.03,0.728,0.424,0.089,1.482,0.704,0.09,0.566,0.865,-0.029,0.029,-0.082,0.011,0.627,0.508,0.101,1.629,0.577,0.096,0.438,0.752,-0.011,0.013,-0.034,0.008,0.43,0.095,0.298,0.611,1.243,0.197,0.965,1.609,-0.022,0.009,-0.037,-0.007,0.26,0.067,0.166,0.384,0.615,0.14,0.429,0.88,-0.026,0.01,-0.044,-0.013,0.454,0.085,0.34,0.614
28,"Appalachian Mountains","House Wren","Troglodytes aedon","HOWR",538,17,632,283,0.362,0.04,0.3,0.432,0,0.025,-0.036,0.046,0.665,0.43,0.085,1.468,0.604,0.065,0.497,0.711,-0.008,0.027,-0.05,0.039,0.656,0.422,0.095,1.421,0.399,0.085,0.282,0.559,0.018,0.013,-0.001,0.041,0.321,0.133,0.107,0.548,0.861,0.269,0.53,1.405,0,0.01,-0.016,0.016,0.228,0.071,0.125,0.356,0.385,0.119,0.232,0.616,0.006,0.011,-0.008,0.028,0.413,0.11,0.262,0.62
28,"Appalachian Mountains","Downy Woodpecker","Dryobates pubescens","DOWO",322,43,523,621,0.508,0.055,0.412,0.59,0.012,0.032,-0.031,0.072,,,,,0.386,0.164,0.229,0.785,0.017,0.042,-0.048,0.087,0.833,1.787,0.085,5.647,1.096,0.124,0.912,1.316,0.008,0.011,-0.01,0.025,0.129,0.1,0.006,0.324,0.626,0.07,0.521,0.748,0.003,0.009,-0.011,0.017,0.217,0.083,0.072,0.351,0.616,0.084,0.491,0.766,0.016,0.009,0.001,0.031,0.281,0.079,0.17,0.424
28,"Appalachian Mountains","White-eyed Vireo","Vireo griseus","WEVI",374,13,536,125,0.536,0.023,0.493,0.569,0.014,0.014,-0.009,0.034,0.366,0.302,0.044,0.99,0.623,0.048,0.567,0.722,-0.007,0.022,-0.04,0.031,0.339,0.322,0.029,1.005,0.213,0.049,0.146,0.304,0.003,0.024,-0.035,0.044,0.417,0.194,0.121,0.766,1.527,0.466,0.961,2.464,-0.091,0.014,-0.113,-0.069,0.13,0.077,0.022,0.272,0.279,0.12,0.147,0.523,-0.081,0.029,-0.129,-0.031,0.521,0.185,0.269,0.864
28,"Appalachian Mountains","Gray Catbird","Dumetella carolinensis","GRCA",3728,44,5471,1948,0.524,0.014,0.501,0.545,-0.002,0.007,-0.011,0.012,0.109,0.088,0.012,0.29,0.607,0.022,0.572,0.646,-0.008,0.009,-0.023,0.006,0.3,0.12,0.109,0.506,0.23,0.029,0.187,0.283,0.005,0.006,-0.004,0.015,0.186,0.046,0.12,0.271,5.101,0.703,4.034,6.33,0.002,0.005,-0.005,0.01,0.129,0.028,0.091,0.181,1.046,0.226,0.728,1.47,0.01,0.007,-0.001,0.021,0.21,0.045,0.149,0.296
28,"Appalachian Mountains","American Robin","Turdus migratorius","AMRO",734,42,1239,476,0.524,0.028,0.484,0.575,0.004,0.019,-0.016,0.043,0.376,0.35,0.047,1.13,0.547,0.074,0.432,0.675,-0.004,0.023,-0.035,0.04,0.365,0.338,0.046,1.075,0.327,0.057,0.248,0.435,-0.003,0.008,-0.014,0.012,0.199,0.102,0.03,0.37,0.991,0.153,0.769,1.267,0.011,0.006,0.001,0.02,0.098,0.053,0.017,0.191,0.307,0.066,0.216,0.43,0.02,0.011,0.002,0.04,0.279,0.073,0.175,0.412
28,"Appalachian Mountains","American Goldfinch","Spinus tristis","AMGO",1222,43,1497,7,0.431,0.03,0.372,0.468,-0.014,0.019,-0.05,0.011,0.415,0.399,0.033,1.274,0.513,0.082,0.399,0.669,-0.016,0.026,-0.052,0.032,0.463,0.336,0.071,1.134,0.001,0.001,0,0.003,-0.016,0.051,-0.079,0.087,0.867,0.843,0.064,2.657,1.6,0.31,1.158,2.181,-0.054,0.01,-0.07,-0.037,0.289,0.056,0.213,0.396,0.001,0.001,0,0.004,-0.018,0.071,-0.116,0.111,1.443,1.077,0.24,3.592
28,"Appalachian Mountains","Hooded Warbler","Setophaga citrina","HOWA",914,31,1213,254,0.489,0.031,0.437,0.538,0.003,0.016,-0.021,0.03,0.202,0.176,0.012,0.566,0.515,0.047,0.436,0.589,-0.019,0.02,-0.055,0.011,0.241,0.185,0.032,0.616,0.141,0.023,0.112,0.187,0.003,0.015,-0.022,0.026,0.516,0.134,0.333,0.769,1.213,0.252,0.86,1.682,0.006,0.01,-0.009,0.023,0.227,0.055,0.15,0.33,0.186,0.054,0.116,0.291,0.019,0.022,-0.016,0.054,0.626,0.141,0.439,0.894
28,"Appalachian Mountains","Song Sparrow","Melospiza melodia","SOSP",1340,30,1801,1598,0.459,0.025,0.418,0.5,0.01,0.009,-0.001,0.029,0.323,0.187,0.051,0.658,0.61,0.04,0.546,0.679,-0.008,0.013,-0.023,0.019,0.433,0.197,0.134,0.785,0.722,0.086,0.593,0.875,0.002,0.007,-0.007,0.016,0.222,0.064,0.129,0.338,1.892,0.427,1.326,2.721,-0.044,0.008,-0.057,-0.031,0.181,0.043,0.12,0.26,1.245,0.294,0.838,1.81,-0.035,0.009,-0.051,-0.02,0.281,0.054,0.208,0.382
28,"Appalachian Mountains","Kentucky Warbler","Geothlypis formosa","KEWA",214,13,302,120,0.55,0.035,0.48,0.593,-0.011,0.026,-0.065,0.019,0.35,0.351,0.024,1.101,0.381,0.066,0.281,0.497,-0.024,0.038,-0.098,0.026,0.495,0.478,0.039,1.5,0.246,0.045,0.196,0.341,0.005,0.02,-0.032,0.035,0.414,0.188,0.128,0.754,0.656,0.208,0.404,1.068,-0.083,0.019,-0.115,-0.053,0.084,0.07,0.007,0.229,0.183,0.065,0.104,0.312,-0.013,0.023,-0.051,0.026,0.451,0.146,0.258,0.728
28,"Appalachian Mountains","Yellow-breasted Chat","Icteria virens","YBCH",361,13,571,84,0.498,0.04,0.428,0.558,-0.001,0.016,-0.03,0.023,0.256,0.258,0.026,0.819,0.685,0.073,0.571,0.812,-0.058,0.037,-0.13,-0.007,0.45,0.527,0.031,1.563,0.13,0.029,0.091,0.185,0.006,0.016,-0.023,0.028,0.258,0.183,0.036,0.625,1.727,0.609,1.016,2.96,-0.153,0.018,-0.183,-0.123,0.246,0.087,0.127,0.408,0.185,0.093,0.09,0.383,-0.045,0.031,-0.102,-0.001,0.322,0.203,0.037,0.695
28,"Appalachian Mountains","Carolina Wren","Thryothorus ludovicianus","CARW",740,30,965,742,0.358,0.033,0.304,0.414,-0.007,0.015,-0.034,0.014,0.29,0.211,0.04,0.703,0.636,0.055,0.549,0.731,0.012,0.02,-0.019,0.047,0.651,0.348,0.129,1.281,0.793,0.106,0.638,0.986,0.046,0.013,0.025,0.068,0.248,0.1,0.086,0.418,0.931,0.158,0.713,1.226,-0.024,0.009,-0.04,-0.009,0.22,0.059,0.138,0.331,0.75,0.145,0.553,1.022,0.024,0.012,0.005,0.045,0.362,0.082,0.25,0.517
28,"Appalachian Mountains","Dark-eyed Junco","Junco hyemalis","DEJU",478,13,598,1183,0.474,0.029,0.443,0.536,0.02,0.026,-0.007,0.074,0.496,0.34,0.066,1.158,0.671,0.034,0.619,0.729,-0.012,0.019,-0.04,0.023,0.474,0.352,0.066,1.148,1.884,0.535,1.213,2.931,-0.008,0.019,-0.038,0.024,0.699,0.146,0.507,0.984,0.684,0.271,0.364,1.24,-0.001,0.006,-0.012,0.009,0.207,0.07,0.103,0.331,1.308,0.5,0.76,2.295,-0.006,0.015,-0.032,0.017,0.553,0.098,0.425,0.741
28,"Appalachian Mountains","Northern Cardinal","Cardinalis cardinalis","NOCA",1105,41,1637,552,0.589,0.018,0.564,0.623,0.001,0.007,-0.01,0.013,0.205,0.174,0.022,0.57,0.688,0.04,0.629,0.758,0.009,0.02,-0.023,0.042,0.362,0.265,0.045,0.889,0.237,0.028,0.194,0.287,0.001,0.012,-0.017,0.023,0.32,0.101,0.176,0.503,2.009,0.234,1.658,2.424,0.002,0.006,-0.009,0.012,0.138,0.043,0.074,0.214,0.44,0.076,0.329,0.577,0.003,0.011,-0.015,0.023,0.299,0.087,0.179,0.462
28,"Appalachian Mountains","Indigo Bunting","Passerina cyanea","INBU",1089,48,1658,286,0.5,0.024,0.451,0.531,0.004,0.014,-0.015,0.03,0.259,0.205,0.029,0.681,0.58,0.044,0.509,0.654,-0.001,0.02,-0.038,0.027,0.28,0.203,0.034,0.677,0.123,0.019,0.095,0.156,-0.007,0.012,-0.028,0.011,0.384,0.126,0.205,0.615,2.236,0.34,1.749,2.865,-0.071,0.008,-0.085,-0.057,0.165,0.049,0.095,0.253,0.245,0.054,0.171,0.345,-0.053,0.02,-0.087,-0.022,0.424,0.125,0.254,0.658
28,"Appalachian Mountains","Veery","Catharus fuscescens","VEER",1188,25,2677,379,0.618,0.017,0.589,0.644,0.005,0.01,-0.011,0.021,0.398,0.152,0.186,0.678,0.605,0.03,0.558,0.655,-0.026,0.014,-0.052,-0.006,0.124,0.114,0.013,0.368,0.125,0.02,0.096,0.16,-0.001,0.012,-0.021,0.017,0.188,0.097,0.038,0.357,2.356,0.565,1.639,3.505,-0.002,0.006,-0.013,0.008,0.183,0.037,0.133,0.252,0.286,0.087,0.176,0.453,-0.018,0.014,-0.041,0.004,0.304,0.092,0.166,0.466
29,"Piedmont","Eastern Towhee","Pipilo erythrophthalmus","EATO",229,18,275,111,0.497,0.043,0.427,0.565,0.008,0.02,-0.024,0.04,1.012,0.594,0.246,2.146,0.996,0.087,0.747,1,-0.057,0.205,-0.44,0.242,2.002,2.26,0.229,7.54,0.329,0.084,0.228,0.495,-0.018,0.018,-0.053,0.005,0.297,0.207,0.034,0.695,0.719,0.134,0.531,0.967,0.001,0.012,-0.019,0.02,0.104,0.082,0.009,0.27,0.25,0.078,0.154,0.406,-0.012,0.019,-0.045,0.016,0.159,0.131,0.018,0.43
29,"Piedmont","American Robin","Turdus migratorius","AMRO",719,15,923,336,0.512,0.025,0.467,0.55,-0.01,0.013,-0.034,0.009,0.376,0.275,0.031,0.907,0.714,0.086,0.581,0.865,-0.008,0.027,-0.049,0.039,1.015,0.674,0.159,2.335,0.381,0.107,0.245,0.592,-0.005,0.009,-0.018,0.012,0.644,0.16,0.425,0.942,1.685,0.433,1.14,2.505,-0.006,0.008,-0.021,0.007,0.245,0.058,0.164,0.351,0.61,0.219,0.359,1.06,-0.009,0.016,-0.036,0.014,0.631,0.136,0.45,0.892
29,"Piedmont","Hooded Warbler","Setophaga citrina","HOWA",269,13,329,89,0.55,0.053,0.476,0.649,0.009,0.026,-0.021,0.062,0.494,0.423,0.044,1.334,0.56,0.053,0.48,0.655,-0.002,0.032,-0.038,0.066,0.332,0.306,0.039,0.976,0.141,0.033,0.109,0.209,0.001,0.018,-0.031,0.027,0.3,0.204,0.026,0.68,0.673,0.261,0.367,1.202,0.029,0.015,0.004,0.054,0.112,0.085,0.011,0.278,0.127,0.057,0.062,0.243,0.025,0.027,-0.018,0.069,0.29,0.184,0.032,0.63
29,"Piedmont","Northern Cardinal","Cardinalis cardinalis","NOCA",1552,25,2080,728,0.595,0.018,0.57,0.629,0,0.007,-0.011,0.011,0.245,0.158,0.029,0.539,0.689,0.034,0.636,0.747,0.019,0.018,-0.005,0.052,0.253,0.186,0.028,0.627,0.283,0.039,0.227,0.354,-0.005,0.012,-0.026,0.014,0.407,0.089,0.287,0.576,5.325,0.875,4.172,7.014,0.01,0.006,0.001,0.02,0.102,0.04,0.033,0.169,1.507,0.328,1.075,2.147,0.002,0.011,-0.017,0.02,0.364,0.077,0.261,0.51
29,"Piedmont","White-eyed Vireo","Vireo griseus","WEVI",293,16,418,154,0.538,0.022,0.499,0.573,0.015,0.012,-0.006,0.034,0.337,0.284,0.033,0.919,0.623,0.047,0.566,0.718,-0.02,0.024,-0.069,0.008,0.454,0.412,0.03,1.293,0.296,0.064,0.209,0.417,-0.008,0.02,-0.041,0.025,0.245,0.161,0.025,0.549,1.278,0.404,0.764,2.074,-0.029,0.018,-0.059,-0.001,0.397,0.105,0.247,0.59,0.337,0.143,0.179,0.625,-0.034,0.022,-0.071,0,0.222,0.149,0.023,0.505
29,"Piedmont","Downy Woodpecker","Dryobates pubescens","DOWO",217,23,253,431,0.532,0.052,0.468,0.635,0.005,0.027,-0.038,0.05,0.684,0.91,0.038,2.571,0.72,0.16,0.455,0.974,0.023,0.049,-0.041,0.112,1.264,1.583,0.108,4.985,1.347,0.23,1.022,1.77,-0.011,0.015,-0.036,0.012,0.2,0.138,0.021,0.46,0.653,0.104,0.502,0.844,0.017,0.013,-0.002,0.04,0.258,0.119,0.061,0.457,0.806,0.152,0.595,1.089,0.02,0.009,0.005,0.036,0.262,0.081,0.139,0.403
29,"Piedmont","Veery","Catharus fuscescens","VEER",420,6,635,93,0.619,0.016,0.592,0.645,0.004,0.009,-0.011,0.02,0.126,0.121,0.01,0.386,0.627,0.043,0.569,0.709,-0.023,0.017,-0.052,0.002,0.56,0.33,0.092,1.172,0.096,0.03,0.057,0.155,-0.01,0.021,-0.051,0.016,0.467,0.187,0.193,0.799,2.084,1.175,1.008,4.568,-0.035,0.01,-0.052,-0.018,0.082,0.064,0.009,0.212,0.199,0.176,0.071,0.562,-0.058,0.026,-0.102,-0.015,0.61,0.177,0.371,0.947
29,"Piedmont","Kentucky Warbler","Geothlypis formosa","KEWA",102,10,133,34,0.555,0.038,0.494,0.615,-0.01,0.031,-0.068,0.027,2.202,2.594,0.226,8.593,0.421,0.095,0.27,0.579,-0.003,0.046,-0.061,0.085,1.335,1.656,0.166,5.274,0.208,0.038,0.146,0.268,0.009,0.022,-0.026,0.047,0.344,0.3,0.017,0.969,0.789,0.368,0.392,1.521,-0.001,0.03,-0.05,0.049,0.483,0.178,0.2,0.787,0.127,0.068,0.056,0.266,-0.011,0.029,-0.053,0.042,0.295,0.264,0.029,0.84
29,"Piedmont","Wood Thrush","Hylocichla mustelina","WOTH",1721,23,2008,515,0.458,0.02,0.426,0.491,0.008,0.011,-0.008,0.028,0.164,0.13,0.017,0.429,0.636,0.039,0.575,0.704,0.04,0.022,0.005,0.077,0.322,0.176,0.066,0.644,0.197,0.03,0.166,0.262,0.014,0.011,-0.003,0.032,0.241,0.091,0.093,0.395,2.642,0.664,1.783,3.938,-0.016,0.007,-0.027,-0.004,0.201,0.043,0.143,0.281,0.595,0.177,0.376,0.942,-0.004,0.009,-0.019,0.011,0.109,0.073,0.014,0.248
29,"Piedmont","Red-eyed Vireo","Vireo olivaceus","REVI",741,24,802,49,0.611,0.023,0.573,0.649,-0.002,0.012,-0.024,0.016,0.258,0.249,0.022,0.781,0.605,0.091,0.475,0.774,-0.05,0.041,-0.138,-0.01,0.57,0.581,0.057,1.754,0.03,0.009,0.018,0.048,-0.003,0.021,-0.034,0.034,0.801,0.289,0.395,1.331,1.722,0.342,1.262,2.367,0,0.009,-0.014,0.015,0.157,0.058,0.063,0.255,0.055,0.02,0.031,0.096,-0.016,0.023,-0.049,0.027,0.801,0.287,0.403,1.331
29,"Piedmont","Common Yellowthroat","Geothlypis trichas","COYE",1172,21,1560,400,0.496,0.02,0.463,0.527,0.002,0.007,-0.009,0.014,0.205,0.133,0.023,0.45,0.649,0.044,0.581,0.725,-0.011,0.017,-0.039,0.017,0.64,0.251,0.277,1.095,0.199,0.042,0.142,0.278,0,0.011,-0.019,0.016,0.479,0.105,0.332,0.674,2.49,0.704,1.608,3.86,-0.019,0.007,-0.03,-0.008,0.151,0.043,0.087,0.227,0.398,0.169,0.211,0.749,-0.022,0.013,-0.043,0,0.361,0.094,0.228,0.531
29,"Piedmont","Field Sparrow","Spizella pusilla","FISP",297,10,341,108,0.458,0.036,0.395,0.512,0.012,0.018,-0.024,0.035,0.337,0.359,0.031,1.119,0.853,0.076,0.729,0.981,-0.044,0.075,-0.17,0.061,1.105,0.949,0.151,3.022,0.244,0.052,0.172,0.342,-0.019,0.024,-0.061,0.017,0.378,0.225,0.067,0.793,1.608,0.607,0.929,2.879,-0.055,0.018,-0.086,-0.027,0.307,0.116,0.125,0.508,0.334,0.114,0.175,0.527,-0.066,0.027,-0.114,-0.024,0.477,0.211,0.162,0.855
29,"Piedmont","American Goldfinch","Spinus tristis","AMGO",473,19,548,3,0.437,0.029,0.386,0.48,-0.009,0.02,-0.042,0.021,0.763,0.85,0.11,2.385,0.564,0.168,0.294,0.846,-0.017,0.036,-0.06,0.051,4.143,2.37,1.293,9.034,0.001,0.002,0,0.005,-0.02,0.057,-0.089,0.091,1.148,1.121,0.138,3.59,1.68,0.512,1.058,2.688,-0.047,0.013,-0.07,-0.026,0.251,0.082,0.132,0.396,0.001,0.002,0,0.007,-0.012,0.081,-0.116,0.143,1.08,1.13,0.146,3.536
29,"Piedmont","Acadian Flycatcher","Empidonax virescens","ACFL",519,20,596,66,0.537,0.031,0.473,0.573,0.007,0.018,-0.032,0.026,0.283,0.266,0.024,0.858,0.403,0.042,0.333,0.469,-0.002,0.024,-0.034,0.044,0.232,0.242,0.015,0.758,0.073,0.017,0.051,0.105,0.014,0.021,-0.014,0.056,0.304,0.221,0.02,0.719,1.592,0.47,1.005,2.526,0.012,0.014,-0.006,0.037,0.245,0.076,0.132,0.379,0.138,0.048,0.08,0.233,0.031,0.028,-0.01,0.08,0.203,0.167,0.022,0.543
29,"Piedmont","Song Sparrow","Melospiza melodia","SOSP",103,10,181,260,0.468,0.049,0.386,0.547,0.008,0.011,-0.007,0.027,1.952,2.161,0.247,7.345,0.501,0.093,0.354,0.66,-0.012,0.013,-0.032,0.011,0.94,1.094,0.132,3.302,0.806,0.198,0.552,1.188,0.001,0.01,-0.012,0.021,0.628,0.205,0.33,0.996,1.237,0.526,0.614,2.306,-0.045,0.02,-0.079,-0.015,0.167,0.121,0.022,0.406,0.736,0.354,0.349,1.447,-0.011,0.022,-0.047,0.026,0.753,0.17,0.524,1.073
