BCR,BirdName,BirdScientificName,BirdCount
Northern Pacific Rainforest,Brown-headed Cowbird,Molothrus ater,402
Prairie Hardwood Transition,Brown-headed Cowbird,Molothrus ater,279
Atlantic Northern Forest,Song Sparrow,Melospiza melodia,391
Sierra Nevada,Hermit Thrush,Catharus guttatus,188
Coastal California,Spotted Towhee,Pipilo maculatus,2893
Prairie Potholes,American Robin,Turdus migratorius,703
Lower Great Lakes/ St. Lawrence Plain,Song Sparrow,Melospiza melodia,1880
Appalachian Mountains,Acadian Flycatcher,Empidonax virescens,250
Northern Rockies,Western Flycatcher,Empidonax difficilis/occidentalis,128
Atlantic Northern Forest,White-throated Sparrow,Zonotrichia albicollis,726
Appalachian Mountains,Red-eyed Vireo,Vireo olivaceus,1303
Appalachian Mountains,Hooded Warbler,Setophaga citrina,914
Oaks And Prairies,Northern Cardinal,Cardinalis cardinalis,1835
Piedmont,Northern Cardinal,Cardinalis cardinalis,1552
Piedmont,Song Sparrow,Melospiza melodia,103
Sierra Nevada,Spotted Towhee,Pipilo maculatus,253
Eastern Tallgrass Prairie,Eastern Towhee,Pipilo erythrophthalmus,122
Prairie Hardwood Transition,Black-capped Chickadee,Poecile atricapillus,620
Central Mixed Grass Prairie,Northern Cardinal,Cardinalis cardinalis,166
Eastern Tallgrass Prairie,Northern Cardinal,Cardinalis cardinalis,1812
Mississippi Alluvial Valley,Downy Woodpecker,Dryobates pubescens,247
Southeastern Coastal Plain,White-eyed Vireo,Vireo griseus,1088
Southeastern Coastal Plain,Carolina Wren,Thryothorus ludovicianus,1706
Lower Great Lakes/ St. Lawrence Plain,Traill's Flycatcher,Empidonax alnorum/traillii,719
Atlantic Northern Forest,Downy Woodpecker,Dryobates pubescens,164
Eastern Tallgrass Prairie,Ovenbird,Seiurus aurocapilla,109
Central Hardwoods,Acadian Flycatcher,Empidonax virescens,2285
Prairie Hardwood Transition,American Redstart,Setophaga ruticilla,219
Prairie Hardwood Transition,Downy Woodpecker,Dryobates pubescens,293
Eastern Tallgrass Prairie,Downy Woodpecker,Dryobates pubescens,542
Northwestern Interior Forest,Swainson's Thrush,Catharus ustulatus,639
Great Basin,Western Flycatcher,Empidonax difficilis/occidentalis,695
Western Alaska,Hermit Thrush,Catharus guttatus,307
Northern Pacific Rainforest,House Wren,Troglodytes aedon,241
Northern Rockies,Yellow-breasted Chat,Icteria virens,223
Northern Rockies,MacGillivray's Warbler,Geothlypis tolmiei,3149
Prairie Potholes,Western Wood-Pewee,Contopus sordidulus,153
Boreal Hardwood Transition,Song Sparrow,Melospiza melodia,350
Boreal Hardwood Transition,White-throated Sparrow,Zonotrichia albicollis,587
Southeastern Coastal Plain,Ovenbird,Seiurus aurocapilla,795
Northern Rockies,Hermit Thrush,Catharus guttatus,124
Boreal Hardwood Transition,Purple Finch,Haemorhous purpureus,109
Appalachian Mountains,Eastern Towhee,Pipilo erythrophthalmus,607
New England/Mid-Atlantic Coast,Wood Thrush,Hylocichla mustelina,2674
Coastal California,Dark-eyed Junco,Junco hyemalis,472
Lower Great Lakes/ St. Lawrence Plain,Black-capped Chickadee,Poecile atricapillus,778
Oaks And Prairies,Summer Tanager,Piranga rubra,279
Oaks And Prairies,Carolina Wren,Thryothorus ludovicianus,538
Central Hardwoods,Field Sparrow,Spizella pusilla,1096
New England/Mid-Atlantic Coast,American Goldfinch,Spinus tristis,875
Northern Pacific Rainforest,Black-headed Grosbeak,Pheucticus melanocephalus,2047
Sierra Nevada,American Robin,Turdus migratorius,1222
Appalachian Mountains,American Goldfinch,Spinus tristis,1222
Piedmont,Wood Thrush,Hylocichla mustelina,1721
Boreal Taiga Plains,Wilson's Warbler,Cardellina pusilla,155
Great Basin,Purple Finch,Haemorhous purpureus,1873
Mississippi Alluvial Valley,American Redstart,Setophaga ruticilla,157
Coastal California,Purple Finch,Haemorhous purpureus,2080
Piedmont,Field Sparrow,Spizella pusilla,297
Central Hardwoods,American Redstart,Setophaga ruticilla,283
Sierra Madre Occidental,Bewick's Wren,Thryomanes bewickii,720
Sierra Madre Occidental,Warbling Vireo,Vireo gilvus,196
Gulf Coastal Prairie,Painted Bunting,Passerina ciris,177
